customer_id,customer_created_date,age_group,canton,customer_type,preferred_contact_method,lead_source
C000045,2020-07-23,65+,NE,Private,Email,Dealer Referral
C000046,2023-04-15,35-44,SG,Fleet,SMS,Direct
C000047,2024-11-20,25-34,GE,Business,WhatsApp,Paid Search
C000048,2022-12-10,55-64,SG,Private,Email,Direct
C000049,2023-12-31,45-54,BE,Private,WhatsApp,Paid Search
C000050,2021-04-15,18-24,ZH,Private,Phone,Paid Search
C000051,2021-08-05,18-24,ZH,Fleet,WhatsApp,Organic Search
C000052,2021-04-30,25-34,VD,Private,WhatsApp,Dealer Referral
C000053,2022-05-16,35-44,GR,Private,Email,Direct
C000054,2021-08-09,25-34,BL,Private,WhatsApp,Partner
C000055,2023-04-01,18-24,ZG,Fleet,WhatsApp,Organic Search
C000056,2020-05-28,35-44,LU,Private,Phone,Paid Search
C000057,2021-10-05,25-34,AG,Private,Email,Social Media
C000058,2021-07-02,45-54,AG,Business,Email,Direct
C000059,2021-05-21,45-54,BE,Private,Phone,Partner
C000060,2023-01-09,35-44,SZ,Private,Email,Dealer Referral
C000061,2021-11-03,25-34,ZH,Private,Email,Direct
C000062,2022-04-14,25-34,BE,Business,Phone,Organic Search
C000063,2020-03-21,25-34,VS,Private,Email,Direct
C000064,2021-06-30,25-34,VD,Private,WhatsApp,Direct
C000065,2020-05-31,18-24,VD,Private,Phone,Social Media
C000066,2023-07-01,35-44,ZH,Business,Phone,Organic Search
C000067,2021-06-06,65+,GR,Private,Email,Organic Search
C000068,2022-09-27,55-64,SG,Private,Email,Dealer Referral
C000069,2022-03-06,65+,AG,Private,Email,Social Media
C000070,2022-01-07,25-34,BE,Private,WhatsApp,Paid Search
C000071,2022-09-26,35-44,GE,Private,Email,Organic Search
C000072,2023-06-26,45-54,SO,Private,Phone,Direct
C000073,2021-03-26,35-44,ZH,Private,Email,Paid Search
C000074,2021-08-10,25-34,AG,Private,Email,Dealer Referral
C000075,2024-01-28,35-44,ZH,Private,Email,Social Media
C000076,2021-11-29,65+,AG,Private,WhatsApp,Dealer Referral
C000077,2023-02-14,55-64,ZH,Private,SMS,Organic Search
C000078,2019-08-19,25-34,ZH,Private,Phone,Dealer Referral
C000079,2020-12-06,25-34,GL,Business,SMS,Dealer Referral
C000080,2022-03-14,18-24,UR,Private,WhatsApp,Dealer Referral
C000081,2020-04-26,45-54,ZH,Private,Email,Direct
C000082,2025-02-18,18-24,SH,Private,Phone,Organic Search
C000083,2022-09-30,35-44,BL,Business,SMS,Dealer Referral
C000084,2020-07-30,55-64,AG,Private,Email,Organic Search
C000085,2019-09-08,45-54,SG,Private,WhatsApp,Social Media
C000086,2022-09-20,45-54,AG,Business,Phone,Paid Search
C000087,2023-03-09,25-34,GE,Private,Phone,Organic Search
C000088,2023-12-20,25-34,ZH,Private,Email,Paid Search
C000089,2023-01-28,35-44,TG,Private,Email,Organic Search
C000090,2023-09-02,65+,BL,Fleet,WhatsApp,Paid Search
C000091,2021-04-23,35-44,SZ,Private,Phone,Social Media
C000092,2024-01-16,35-44,ZH,Private,Email,Social Media
C000093,2022-03-17,35-44,TG,Private,Email,Paid Search
C000094,2023-10-02,25-34,ZH,Private,Email,Direct
C000095,2020-12-04,25-34,SG,Private,Phone,Paid Search
C000096,2021-02-02,45-54,LU,Private,Phone,Organic Search
C000097,2022-02-24,18-24,BE,Business,WhatsApp,Organic Search
C000098,2021-03-07,35-44,ZH,Private,SMS,Organic Search
C000099,2021-08-30,35-44,VS,Private,WhatsApp,Partner
C000100,2022-12-20,25-34,BS,Private,SMS,Social Media
C000101,2021-07-04,35-44,GR,Business,Phone,Organic Search
C000102,2023-06-02,35-44,LU,Business,Phone,Paid Search
C000103,2022-05-26,18-24,ZG,Private,Phone,Organic Search
C000104,2023-06-01,45-54,ZH,Business,WhatsApp,Paid Search
C000105,2022-09-03,25-34,AG,Private,Phone,Dealer Referral
C000106,2021-03-04,45-54,NE,Private,WhatsApp,Organic Search
C000107,2021-04-12,55-64,AG,Private,Email,Direct
C000108,2022-04-28,18-24,VS,Business,Email,Social Media
C000109,2021-04-29,45-54,ZH,Fleet,WhatsApp,Paid Search
C000110,2020-10-30,25-34,SG,Private,Phone,Dealer Referral
C000111,2020-12-16,35-44,ZH,Private,Email,Direct
C000112,2021-02-22,25-34,ZH,Private,Phone,Paid Search
C000113,2025-08-04,55-64,GE,Private,Phone,Direct
C000114,2021-08-23,18-24,NE,Private,Email,Direct
C000115,2021-07-02,25-34,VD,Fleet,Email,Organic Search
C000116,2021-09-29,45-54,BS,Private,WhatsApp,Social Media
C000117,2022-09-04,45-54,SG,Private,Phone,Dealer Referral
C000118,2022-01-02,55-64,AG,Private,Email,Direct
C000119,2024-01-20,55-64,VD,Private,Phone,Paid Search
C000120,2023-05-22,25-34,AG,Business,SMS,Paid Search
C000121,2020-03-19,65+,ZH,Private,Phone,Organic Search
C000122,2021-07-12,55-64,BE,Private,Email,Paid Search
C000123,2024-06-06,45-54,AG,Private,Phone,Dealer Referral
C000124,2023-06-09,25-34,BL,Private,Phone,Paid Search
C000125,2022-05-31,45-54,ZH,Private,WhatsApp,Paid Search
C000126,2022-10-02,55-64,BL,Private,Email,Organic Search
C000127,2020-09-11,45-54,AG,Private,SMS,Organic Search
C000128,2023-04-05,25-34,BL,Private,Phone,Organic Search
C000129,2020-03-08,35-44,ZH,Private,Phone,Organic Search
C000130,2021-11-28,45-54,SO,Business,SMS,Paid Search
C000131,2020-11-29,25-34,LU,Private,Email,Paid Search
C000132,2022-07-23,45-54,TG,Private,Email,Organic Search
C000133,2021-04-11,18-24,BE,Private,SMS,Social Media
C000134,2024-10-18,35-44,ZH,Business,Phone,Direct
C000135,2021-04-22,35-44,GR,Private,Phone,Social Media
C000136,2021-12-15,45-54,AG,Private,SMS,Organic Search
C000137,2021-12-26,65+,ZH,Private,Email,Social Media
C000138,2021-02-03,35-44,SZ,Private,Email,Direct
C000139,2020-12-11,35-44,ZH,Private,WhatsApp,Paid Search
C000140,2023-04-14,35-44,FR,Business,Phone,Direct
C000141,2023-04-13,45-54,SO,Private,Email,Paid Search
C000142,2023-07-17,55-64,ZG,Business,Email,Organic Search
C000143,2021-08-01,55-64,BE,Private,WhatsApp,Partner
C000144,2022-08-01,18-24,JU,Private,Phone,Organic Search
C000145,2022-11-02,25-34,AG,Private,Email,Partner
C000146,2023-03-01,45-54,BL,Business,Phone,Direct
C000147,2021-01-19,35-44,VD,Private,Phone,Organic Search
C000148,2020-06-17,45-54,BE,Private,Phone,Social Media
C000149,2022-07-01,45-54,ZH,Business,Email,Paid Search
C000150,2022-01-24,45-54,FR,Business,Phone,Organic Search
C000151,2024-07-23,18-24,VD,Business,Phone,Dealer Referral
C000152,2022-12-30,45-54,AG,Private,WhatsApp,Organic Search
C000153,2022-11-02,45-54,BE,Private,Email,Direct
C000154,2019-09-05,25-34,SZ,Business,SMS,Social Media
C000155,2023-07-18,25-34,AG,Private,Email,Paid Search
C000156,2021-10-27,65+,VD,Private,Phone,Social Media
C000157,2023-11-27,25-34,TG,Business,Phone,Paid Search
C000158,2023-04-01,55-64,FR,Private,Email,Organic Search
C000159,2022-01-13,25-34,BE,Private,Email,Organic Search
C000160,2020-02-27,65+,SO,Private,SMS,Direct
C000161,2021-07-14,65+,ZH,Private,SMS,Paid Search
C000162,2021-09-27,35-44,ZH,Private,Email,Direct
C000163,2022-06-28,25-34,GL,Private,Email,  direct 
C000164,2024-12-22,35-44,AG,Private,WhatsApp,Organic Search
C000165,2023-10-04,45-54,GE,Private,Email,Social Media
C000166,2023-01-03,35-44,BE,Private,WhatsApp,Paid Search
C000167,2021-08-08,25-34,ZG,Private,Email,Direct
C000168,2021-12-31,45-54,AG,Private,Email,Paid Search
C000169,2021-12-02,25-34,GL,Private,Phone,Direct
C000170,2023-03-07,25-34,VS,Private,Email,Organic Search
C000171,2021-12-08,25-34,ZG,Private,Email,Organic Search
C000172,2021-07-03,45-54,VD,Private,WhatsApp,Dealer Referral
C000173,2021-06-06,35-44,JU,Private,WhatsApp,Paid Search
C000174,2024-06-13,55-64,ZH,Private,Email,Organic Search
C000175,2024-02-29,35-44,ZH,Private,Email,Direct
C000176,2020-08-04,25-34,ZH,Fleet,WhatsApp,Social Media
C000177,2021-01-10,45-54,LU,Business,Phone,Organic Search
C000178,2022-10-18,45-54,FR,Private,WhatsApp,Social Media
C000179,2022-12-22,65+,FR,Business,SMS,Paid Search
C000180,2020-12-18,45-54,TI,Private,Phone,Partner
C000181,2020-09-01,65+,GE,Private,Email,Direct
C000182,2021-09-07,25-34,VD,Private,Phone,Organic Search
C000183,2021-02-01,35-44,TI,Private,Phone,Dealer Referral
C000184,2022-09-14,45-54,GR,Private,SMS,Paid Search
C000185,2023-10-28,18-24,TG,Private,WhatsApp,Organic Search
C000186,2021-05-18,25-34,TG,Private,Phone,Partner
C000187,2021-08-06,35-44,ZH,Private,Email,Organic Search
C000188,2021-06-01,65+,JU,Private,Email,Social Media
C000189,2023-12-14,65+,AG,Private,SMS,Social Media
C000190,2022-10-13,35-44,ZG,Private,WhatsApp,Paid Search
C000191,2021-02-19,25-34,ZH,Private,Email,Paid Search
C000192,2020-02-25,45-54,GE,Private,Email,Direct
C000193,2022-09-08,65+,ZH,Private,SMS,Partner
C000194,2022-05-22,35-44,TI,Private,Email,Direct
C000195,2021-01-20,45-54,ZG,Business,WhatsApp,Dealer Referral
C000196,2021-09-18,18-24,AG,Business,SMS,Organic Search
C000197,2022-12-14,18-24,AG,Private,Phone,Dealer Referral
C000198,2022-09-29,25-34,BE,Private,Email,Organic Search
C000199,2022-11-23,35-44,GE,Business,Phone,Organic Search
C000200,2020-09-15,25-34,ZH,Private,Email,Direct
C000201,2020-04-05,45-54,ZH,Private,Email,Organic Search
C000202,2022-09-21,35-44,VD,Private,Phone,Direct
C000203,2021-02-03,55-64,BL,Private,Email,Direct
C000204,2021-03-31,45-54,FR,Private,SMS,Dealer Referral
C000205,2021-01-14,45-54,LU,Business,Phone,Paid Search
C000206,2021-07-11,35-44,ZH,Private,Email,Direct
C000207,2021-11-15,35-44,ZH,Private,Email,Organic Search
C000208,2023-10-12,25-34,ZH,Private,Email,Social Media
C000209,2023-02-17,35-44,ZH,Private,Email,Paid Search
C000210,2020-12-03,55-64,BE,Private,Phone,Direct
C000211,2022-08-28,35-44,ZH,Private,Phone,Organic Search
C000212,2020-04-15,25-34,BE,Private,Email,Social Media
C000213,2021-07-28,18-24,ZH,Private,Phone,Social Media
C000214,2020-02-29,18-24,SG,Private,Phone,Social Media
C000215,2022-05-06,45-54,BE,Private,Phone,Dealer Referral
C000216,2023-10-28,25-34,SO,Private,Email,Organic Search
C000217,2021-07-16,55-64,ZH,Private,SMS,Paid Search
C000218,2021-12-15,35-44,BE,Business,Email,Social Media
C000219,2020-06-29,25-34,AG,Private,Email,Direct
C000220,2023-07-16,35-44,ZH,Private,Email,Paid Search
C000221,2024-09-08,25-34,SO,Private,WhatsApp,Social Media
C000222,2022-12-10,55-64,AG,Private,Email,Direct
C000223,2020-02-25,65+,FR,Private,Phone,Organic Search
C000224,2022-08-01,18-24,JU,Private,Email,Organic Search
C000225,2022-01-06,65+,ZH,Private,Email,Organic Search
C000226,2022-03-21,55-64,SZ,Private,WhatsApp,Direct
C000227,2023-08-19,25-34,ZG,Private,WhatsApp,Dealer Referral
C000228,2022-05-19,18-24,FR,Private,Email,Organic Search
C000229,2023-01-30,25-34,ZH,Private,Email,Direct
C000230,2023-03-22,55-64,AG,Fleet,SMS,Dealer Referral
C000231,2019-11-13,65+,VD,Private,Email,Paid Search
C000232,2021-10-21,35-44,JU,Private,WhatsApp,Paid Search
C000233,2022-05-25,35-44,SG,Private,Email,Paid Search
C000234,2023-07-23,25-34,ZH,Private,Phone,Partner
C000235,2023-02-19,55-64,ZH,Private,Phone,Paid Search
C000236,2023-10-17,65+,ZG,Private,WhatsApp,Dealer Referral
C000237,2022-01-19,25-34,ZH,Private,Email,Paid Search
C000238,2023-01-06,55-64,GL,Private,Email,Dealer Referral
C000239,2023-01-08,35-44,JU,Private,WhatsApp,Direct
C000240,2025-07-27,55-64,ZG,Private,WhatsApp,Social Media
C000241,2023-06-12,65+,BE,Private,Email,Dealer Referral
C000242,2022-12-31,35-44,ZG,Private,Email,Organic Search
C000243,2022-05-08,55-64,SG,Private,Phone,Social Media
C000244,2021-07-10,45-54,BE,Private,SMS,Direct
C000245,2024-03-20,45-54,BL,Private,Email,Direct
C000246,2021-01-24,65+,GE,Private,SMS,Direct
C000247,2024-04-15,55-64,BE,Private,Phone,Social Media
C000248,2022-02-06,45-54,ZG,Business,Email,Dealer Referral
C000249,2023-08-23,55-64,FR,Business,Email,Social Media
C000250,2022-07-06,35-44,VD,Private,SMS,Partner
C000251,2022-04-20,25-34,BL,Private,WhatsApp,Partner
C000252,2022-03-31,18-24,VS,Private,Email,Paid Search
C000253,2023-02-15,18-24,TI,Private,Phone,Social Media
C000254,2021-06-27,55-64,AG,Private,SMS,Paid Search
C000255,2022-04-23,45-54,ZH,Private,WhatsApp,Paid Search
C000256,2024-05-09,25-34,SO,Private,SMS,Dealer Referral
C000257,2021-08-03,35-44,VD,Private,Email,Paid Search
C000258,2024-01-03,25-34,GE,Private,Email,Organic Search
C000259,2024-07-26,35-44,NE,Private,Email,Dealer Referral
C000260,2023-07-01,45-54,VD,Private,Phone,Dealer Referral
C000261,2019-12-23,45-54,GR,Private,WhatsApp,Organic Search
C000262,2020-12-01,25-34,BE,Private,Phone,Direct
C000263,2020-07-27,25-34,SH,Private,Email,Paid Search
C000264,2020-09-17,25-34,AG,Private,Email,Paid Search
C000265,2021-11-03,25-34,VD,Business,Email,Paid Search
C000266,2024-03-20,65+,ZH,Private,Phone,Organic Search
C000267,2021-02-09,55-64,ZH,Private,Email,Paid Search
C000268,2024-09-26,55-64,ZH,Business,SMS,Organic Search
C000269,2021-02-24,18-24,TI,Private,Phone,Social Media
C000270,2021-05-05,65+,TG,Private,WhatsApp,Social Media
C000271,2023-01-14,35-44,VD,Business,Phone,Paid Search
C000272,2022-08-31,35-44,SZ,Private,Email,Dealer Referral
C000273,2021-09-27,25-34,NE,Business,Phone,Direct
C000274,2021-01-13,25-34,ZH,Private,WhatsApp,Partner
C000275,2024-12-01,25-34,LU,Private,Phone,Dealer Referral
C000276,2022-03-17,18-24,TI,Private,WhatsApp,Organic Search
C000277,2022-04-06,25-34,AG,Private,Email,Social Media
C000278,2020-02-03,18-24,BE,Private,Email,Organic Search
C000279,2023-11-26,35-44,AG,Private,SMS,Paid Search
C000280,2020-09-26,25-34,TI,Private,WhatsApp,Dealer Referral
C000281,2021-03-27,45-54,FR,Private,Phone,Paid Search
C000282,2022-06-19,55-64,BE,Private,Phone,Organic Search
C000283,2020-04-28,45-54,VS,Private,Email,Dealer Referral
C000284,2022-06-11,45-54,LU,Private,SMS,Dealer Referral
C000285,2025-07-18,35-44,GE,Private,SMS,Dealer Referral
C000286,2022-02-14,55-64,VS,Private,Email,Paid Search
C000287,2021-03-31,25-34,BE,Private,Phone,Organic Search
C000288,2023-11-04,18-24,BL,Business,Email,Social Media
C000289,2021-12-28,18-24,SG,Private,Phone,Dealer Referral
C000290,2022-06-14,25-34,ZH,Private,Phone,Paid Search
C000291,2022-05-06,25-34,GL,Private,Email,Dealer Referral
C000292,2021-02-24,35-44,SG,Private,SMS,Paid Search
C000293,2021-03-04,45-54,FR,Private,SMS,Organic Search
C000294,2023-12-16,35-44,VD,Private,WhatsApp,Dealer Referral
C000295,2022-11-28,25-34,ZG,Private,WhatsApp,Partner
C000296,2020-09-22,25-34,BE,Business,Email,Organic Search
C000297,2022-10-17,35-44,GE,Private,SMS,Partner
C000298,2022-08-30,35-44,VD,Private,Phone,Social Media
C000299,2024-02-17,65+,VD,Private,Phone,Partner
C000300,2021-03-19,25-34,ZH,Business,WhatsApp,Paid Search
C000301,2021-04-19,35-44,FR,Private,Phone,Social Media
C000302,2022-07-07,45-54,ZH,Business,WhatsApp,Paid Search
C000303,2022-01-15,18-24,ZH,Private,Email,Organic Search
C000304,2021-02-05,45-54,VD,Private,Phone,Dealer Referral
C000305,2022-05-09,45-54,BE,Business,WhatsApp,Organic Search
C000306,2021-12-08,35-44,BL,Private,Phone,Organic Search
C000307,2022-12-22,35-44,AG,Fleet,Email,Paid Search
C000308,2024-08-11,35-44,ZH,Private,SMS,Paid Search
C000309,2022-09-27,25-34,SZ,Private,WhatsApp,Paid Search
C000310,2022-12-01,45-54,TG,Private,WhatsApp,Partner
C000311,2023-02-23,55-64,FR,Private,SMS,Paid Search
C000312,2021-08-11,65+,SG,Private,Email,Paid Search
C000313,2022-01-25,18-24,ZH,Private,Phone,Organic Search
C000314,2022-08-11,45-54,FR,Business,SMS,Organic Search
C000315,2023-10-07,35-44,VD,Private,Email,Paid Search
C000316,2020-11-23,25-34,AG,Private,Phone,Dealer Referral
C000317,2025-02-12,45-54,VS,Private,Phone,Partner
C000318,2021-01-18,55-64,ZH,Private,Email,Paid Search
C000319,2020-12-26,45-54,SG,Private,Email,Dealer Referral
C000320,2024-06-04,45-54,GL,Private,Email,Social Media
C000321,2021-05-17,55-64,BE,Private,Phone,Organic Search
C000322,2019-12-08,25-34,GR,Private,Email,Dealer Referral
C000323,2022-06-05,65+,VD,Private,Phone,Paid Search
C000324,2023-05-28,45-54,BE,Private,SMS,Dealer Referral
C000325,2023-06-02,25-34,SG,Private,WhatsApp,Organic Search
C000326,2024-03-05,18-24,NE,Private,WhatsApp,Social Media
C000327,2020-06-01,45-54,BE,Private,Email,Organic Search
C000328,2024-09-26,25-34,VD,Private,Email,Paid Search
C000329,2021-01-31,65+,ZH,Private,Email,Social Media
C000330,2021-05-07,45-54,ZH,Private,Email,Organic Search
C000331,2021-05-18,65+,TI,Private,Email,Dealer Referral
C000332,2021-10-26,35-44,BE,Private,Phone,Organic Search
C000333,2022-09-19,35-44,AG,Private,WhatsApp,Dealer Referral
C000334,2023-12-17,25-34,VD,Private,SMS,Paid Search
C000335,2020-12-21,35-44,BL,Private,Email,Organic Search
C000336,2025-05-14,45-54,FR,Private,WhatsApp,Paid Search
C000337,2020-12-21,45-54,ZH,Private,Email,Direct
C000338,2023-08-18,35-44,AG,Private,WhatsApp,Dealer Referral
C000339,2024-12-17,35-44,SG,Private,Email,Dealer Referral
C000340,2022-01-25,35-44,BE,Private,WhatsApp,Social Media
C000341,2022-05-19,18-24,ZH,Private,Phone,Dealer Referral
C000342,2025-03-28,25-34,AG,Fleet,Email,Organic Search
C000343,2023-04-04,35-44,VD,Private,WhatsApp,Direct
C000344,2020-08-13,45-54,VD,Private,Email,Social Media
C000345,2022-08-28,55-64,ZH,Private,Email,Social Media
C000346,2023-02-07,18-24,BE,Private,Phone,Paid Search
C000347,2023-06-22,35-44,ZH,Business,Email,Dealer Referral
C000348,2022-03-22,18-24,GR,Private,WhatsApp,Paid Search
C000349,2021-09-22,35-44,VD,Private,Phone,Paid Search
C000350,2021-01-26,45-54,BE,Private,Phone,Dealer Referral
C000351,2023-11-24,18-24,GE,Fleet,Phone,Social Media
C000352,2023-01-15,25-34,TI,Private,Email,Dealer Referral
C000353,2020-08-27,45-54,LU,Private,Phone,Paid Search
C000354,2024-03-05,25-34,UR,Fleet,Email,Direct
C000355,2021-05-20,25-34,ZH,Private,Email,Direct
C000356,2022-07-07,35-44,GR,Business,WhatsApp,Direct
C000357,2021-04-22,45-54,SG,Private,Email,Partner
C000358,2021-05-15,25-34,ZH,Private,Phone,Organic Search
C000359,2024-04-12,35-44,SO,Private,Email,Paid Search
C000360,2022-11-20,18-24,NE,Private,Phone,Dealer Referral
C000361,2021-09-12,25-34,VD,Business,SMS,Dealer Referral
C000362,2021-02-01,35-44,VS,Private,Email,Organic Search
C000363,2022-01-25,65+,BE,Private,Email,Paid Search
C000364,2022-01-23,45-54,SZ,Private,Phone,Direct
C000365,2022-11-26,45-54,VD,Private,Phone,Direct
C000366,2022-01-25,45-54,AG,Private,Phone,Dealer Referral
C000367,2023-03-26,55-64,NW,Private,SMS,Organic Search
C000368,2023-02-20,35-44,ZH,Private,Phone,Organic Search
C000369,2024-07-20,18-24,VD,Private,Phone,Paid Search
C000370,2021-08-02,25-34,ZH,Private,Email,Direct
C000371,2023-01-26,45-54,ZH,Private,Phone,Dealer Referral
C000372,2025-08-09,45-54,ZH,Business,SMS,Organic Search
C000373,2023-01-28,55-64,SG,Business,Email,Paid Search
C000374,2022-08-07,25-34,SO,Fleet,Email,Partner
C000375,2021-03-26,25-34,GE,Business,Email,Social Media
C000376,2022-08-31,18-24,AG,Private,SMS,Social Media
C000377,2020-03-08,25-34,GR,Private,Phone,Social Media
C000378,2023-01-20,45-54,GE,Private,Phone,Partner
C000379,2022-02-15,35-44,ZH,Private,WhatsApp,Partner
C000380,2020-07-06,35-44,VS,Private,Email,Organic Search
C000381,2021-03-02,55-64,BE,Private,WhatsApp,Social Media
C000382,2020-01-23,18-24,BE,Business,WhatsApp,Social Media
C000383,2022-03-28,18-24,ZH,Private,SMS,Dealer Referral
C000384,2022-12-19,45-54,UR,Private,SMS,Paid Search
C000385,2022-06-10,55-64,BE,Private,Email,Organic Search
C000386,2023-09-11,35-44,ZH,Private,Email,Organic Search
C000387,2022-04-26,25-34,VD,Private,WhatsApp,Social Media
C000388,2023-05-13,45-54,ZG,Business,Email,Paid Search
C000389,2021-07-20,65+,SG,Business,WhatsApp,Partner
C000390,2023-12-10,18-24,AG,Business,SMS,Social Media
C000391,2020-04-06,35-44,ZG,Private,Email,Organic Search
C000392,2020-01-19,25-34,VS,Private,WhatsApp,Dealer Referral
C000393,2021-12-27,55-64,GL,Private,WhatsApp,Partner
C000394,2022-05-12,55-64,VS,Private,WhatsApp,Partner
C000395,2022-03-18,25-34,SZ,Private,Phone,Direct
C000396,2022-05-31,25-34,SH,Private,Email,Organic Search
C000397,2021-07-13,25-34,GR,Business,Email,Paid Search
C000398,2025-06-10,55-64,ZH,Private,Email,Dealer Referral
C000399,2023-12-20,35-44,AG,Private,Email,Direct
C000400,2024-10-01,35-44,BE,Private,Email,Social Media
C000401,2020-01-27,45-54,ZH,Business,Phone,Paid Search
C000402,2023-10-04,45-54,TI,Private,Email,Organic Search
C000403,2022-08-21,35-44,BL,Private,Phone,Social Media
C000404,2021-05-13,45-54,VS,Private,Email,Paid Search
C000405,2022-08-12,35-44,ZH,Private,Email,Partner
C000406,2020-11-28,18-24,AG,Private,Email,Organic Search
C000407,2020-06-07,18-24,VD,Private,SMS,Partner
C000408,2021-03-07,35-44,BL,Private,SMS,Organic Search
C000409,2021-07-26,55-64,GE,Private,Email,Social Media
C000410,2021-07-29,35-44,AG,Private,Email,Paid Search
C000411,2020-03-09,18-24,AG,Private,WhatsApp,Organic Search
C000412,2021-12-11,45-54,BS,Private,Email,Dealer Referral
C000413,2022-03-21,25-34,BE,Private,WhatsApp,Paid Search
C000414,2022-07-01,45-54,ZH,Private,WhatsApp,Social Media
C000415,2024-11-30,45-54,AG,Private,Email,Organic Search
C000416,2020-04-12,25-34,LU,Private,Phone,Dealer Referral
C000417,2020-02-27,25-34,NE,Private,Email,Dealer Referral
C000418,2021-12-31,25-34,SZ,Private,WhatsApp,Paid Search
C000419,2021-04-07,25-34,GL,Private,Phone,Social Media
C000420,2024-04-29,25-34,SG,Business,WhatsApp,Organic Search
C000421,2020-10-07,35-44,FR,Private,Phone,Organic Search
C000422,2022-10-27,65+,ZH,Private,Email,Paid Search
C000423,2022-09-18,35-44,BE,Business,SMS,Paid Search
C000424,2022-06-10,45-54,TG,Business,Phone,Direct
C000425,2024-08-08,35-44,BS,Private,Email,Organic Search
C000426,2023-05-15,55-64,LU,Private,Phone,Direct
C000427,2021-04-21,25-34,VD,Private,WhatsApp,Social Media
C000428,2022-02-04,25-34,TG,Private,WhatsApp,Social Media
C000429,2022-03-19,45-54,BE,Private,Email,Paid Search
C000430,2023-01-13,25-34,FR,Private,WhatsApp,Social Media
C000431,2023-12-04,45-54,ZH,Business,Email,Direct
C000432,2021-12-25,35-44,SG,Business,Phone,Social Media
C000433,2021-08-26,65+,ZH,Private,WhatsApp,Dealer Referral
C000434,2021-08-31,45-54,ZH,Private,WhatsApp,Organic Search
C000435,2021-08-25,45-54,BE,Private,Phone,Social Media
C000436,2022-07-09,35-44,BE,Private,Phone,Dealer Referral
C000437,2020-08-30,25-34,GE,Private,Phone,Dealer Referral
C000438,2021-12-11,45-54,NW,Fleet,Phone,Direct
C000439,2025-07-04,25-34,LU,Private,Email,Organic Search
C000440,2021-08-16,25-34,VD,Private,Email,Paid Search
C000441,2023-02-12,55-64,GE,Private,WhatsApp,Partner
C000442,2022-07-28,35-44,LU,Private,Email,Direct
C000443,2021-12-13,45-54,LU,Private,Email,Direct
C000444,2021-08-05,45-54,TI,Private,Phone,Dealer Referral
C000445,2024-02-10,35-44,BE,Private,WhatsApp,Organic Search
C000446,2021-12-16,55-64,TI,Private,Email,Organic Search
